Charge Type,Charge Description,row_count,total_value,Major Category,Subcategory,Method
VALVE 60 50 MIN,VALVE 60 50 MIN,1,118.25,Administrative & Service Fees,Declared Value / Insurance,tfidf_fallback
VALVES 60 80 MIN,VALVES 60 80 MIN,1,118.25,Other / Uncategorized,Unclassified,none
VALVES 70 100 MIN,VALVES 70 100 MIN,1,158.29,Other / Uncategorized,Unclassified,none
VALVES 70 124 MIN,VALVES 70 124 MIN,1,118.25,Other / Uncategorized,Unclassified,none
VALVES 70 161 MIN,VALVES 70 161 MIN,1,118.25,Other / Uncategorized,Unclassified,none
VALVES 70 260 MIN,VALVES 70 260 MIN,1,118.25,Other / Uncategorized,Unclassified,none
VALVES 70 285 MIN,VALVES 70 285 MIN,1,118.25,Other / Uncategorized,Unclassified,none
VALVES 70 350 75.96,VALVES 70 350 75.96,1,265.86,Administrative & Service Fees,Declared Value / Insurance,tfidf_fallback
VALVES 70 540 56.83,VALVES 70 540 56.83,1,306.88,Administrative & Service Fees,Declared Value / Insurance,tfidf_fallback
VALVES 70 614 46.16,VALVES 70 614 46.16,1,283.42,Administrative & Service Fees,Declared Value / Insurance,tfidf_fallback
VAT,VAT,4193,32075.99,Taxes & Customs,VAT,rule
VAT on Ancillary,VAT on Ancillary,1,9.08,Taxes & Customs,VAT,rule
VAT on Disbursement Fee,VAT on Disbursement Fee,2,3.04,Taxes & Customs,VAT,rule
VGM FEE,VGM FEE,2,50.0,Other / Uncategorized,Unclassified,none
VGM PROCESSING FEE,VGM PROCESSING FEE,2,45.0,Taxes & Customs,Customs / Brokerage,tfidf_fallback
VGM/SOLAS Fee,VGM/SOLAS Fee,2,45.0,Other / Uncategorized,Unclassified,none
